year,cell,flow,doxx,bodx,nh4x,no3x,orgn,orgp,po4x,totn,totp,tssx
1999,    12, 0.603E+01, 0.249E+04, 0.448E+04, 0.281E+04, 0.757E+04, 0.999E+03, 0.490E+03, 0.120E+04, 0.114E+05, 0.169E+04, 0.142E+05
2000,    12, 0.619E+01, 0.256E+04, 0.528E+04, 0.284E+04, 0.779E+04, 0.101E+04, 0.500E+03, 0.122E+04, 0.116E+05, 0.172E+04, 0.150E+05
1991,    23, 0.513E+01, 0.200E+04, 0.186E+04, 0.356E+03, 0.600E+03, 0.121E+03, 0.404E+02, 0.963E+02, 0.108E+04, 0.137E+03, 0.238E+05
1992,    23, 0.515E+01, 0.201E+04, 0.187E+04, 0.360E+03, 0.602E+03, 0.122E+03, 0.406E+02, 0.969E+02, 0.108E+04, 0.138E+03, 0.239E+05
1993,    23, 0.514E+01, 0.201E+04, 0.187E+04, 0.362E+03, 0.601E+03, 0.123E+03, 0.407E+02, 0.970E+02, 0.109E+04, 0.138E+03, 0.238E+05
1994,    23, 0.514E+01, 0.201E+04, 0.188E+04, 0.365E+03, 0.601E+03, 0.123E+03, 0.408E+02, 0.974E+02, 0.109E+04, 0.138E+03, 0.238E+05
1995,    23, 0.514E+01, 0.201E+04, 0.189E+04, 0.369E+03, 0.601E+03, 0.124E+03, 0.412E+02, 0.983E+02, 0.109E+04, 0.139E+03, 0.238E+05
1996,    23, 0.518E+01, 0.202E+04, 0.194E+04, 0.385E+03, 0.603E+03, 0.128E+03, 0.437E+02, 0.104E+03, 0.112E+04, 0.148E+03, 0.239E+05
1997,    23, 0.516E+01, 0.202E+04, 0.194E+04, 0.387E+03, 0.602E+03, 0.128E+03, 0.437E+02, 0.104E+03, 0.112E+04, 0.148E+03, 0.238E+05
1998,    23, 0.517E+01, 0.202E+04, 0.195E+04, 0.390E+03, 0.602E+03, 0.129E+03, 0.438E+02, 0.105E+03, 0.112E+04, 0.149E+03, 0.238E+05
1999,    23, 0.517E+01, 0.202E+04, 0.195E+04, 0.393E+03, 0.602E+03, 0.129E+03, 0.440E+02, 0.105E+03, 0.112E+04, 0.149E+03, 0.239E+05
2000,    23, 0.519E+01, 0.203E+04, 0.196E+04, 0.398E+03, 0.604E+03, 0.130E+03, 0.443E+02, 0.106E+03, 0.113E+04, 0.150E+03, 0.239E+05
1991,    25, 0.317E+04, 0.276E+07, 0.565E+07, 0.458E+07, 0.840E+06, 0.109E+07, 0.151E+06, 0.326E+06, 0.651E+07, 0.477E+06, 0.933E+07
1992,    25, 0.331E+04, 0.249E+07, 0.583E+07, 0.474E+07, 0.105E+07, 0.114E+07, 0.145E+06, 0.288E+06, 0.693E+07, 0.433E+06, 0.912E+07
1993,    25, 0.356E+04, 0.272E+07, 0.639E+07, 0.499E+07, 0.112E+07, 0.122E+07, 0.136E+06, 0.268E+06, 0.732E+07, 0.404E+06, 0.101E+08
1994,    25, 0.364E+04, 0.260E+07, 0.648E+07, 0.503E+07, 0.850E+06, 0.119E+07, 0.128E+06, 0.262E+06, 0.707E+07, 0.390E+06, 0.101E+08
1995,    25, 0.336E+04, 0.263E+07, 0.605E+07, 0.390E+07, 0.946E+06, 0.941E+06, 0.103E+06, 0.203E+06, 0.579E+07, 0.306E+06, 0.929E+07
1996,    25, 0.373E+04, 0.260E+07, 0.671E+07, 0.377E+07, 0.847E+06, 0.930E+06, 0.111E+06, 0.212E+06, 0.555E+07, 0.324E+06, 0.105E+08
1997,    25, 0.340E+04, 0.249E+07, 0.594E+07, 0.322E+07, 0.723E+06, 0.771E+06, 0.105E+06, 0.206E+06, 0.471E+07, 0.311E+06, 0.937E+07
1998,    25, 0.365E+04, 0.259E+07, 0.535E+07, 0.126E+07, 0.194E+07, 0.788E+06, 0.100E+06, 0.198E+06, 0.398E+07, 0.298E+06, 0.104E+08
1999,    25, 0.343E+04, 0.249E+07, 0.322E+07, 0.109E+07, 0.190E+07, 0.639E+06, 0.902E+05, 0.171E+06, 0.364E+07, 0.262E+06, 0.760E+07
2000,    25, 0.350E+04, 0.255E+07, 0.174E+07, 0.102E+07, 0.197E+07, 0.551E+06, 0.950E+05, 0.185E+06, 0.354E+07, 0.280E+06, 0.537E+07
1991,    18, 0.736E+01, 0.118E+05, 0.473E+05, 0.151E+05, 0.990E+04, 0.480E+04, 0.633E+03, 0.167E+04, 0.298E+05, 0.230E+04, 0.411E+05
1992,    18, 0.755E+01, 0.119E+05, 0.473E+05, 0.159E+05, 0.102E+05, 0.504E+04, 0.643E+03, 0.169E+04, 0.312E+05, 0.233E+04, 0.418E+05
1993,    18, 0.754E+01, 0.120E+05, 0.469E+05, 0.165E+05, 0.105E+05, 0.525E+04, 0.643E+03, 0.169E+04, 0.323E+05, 0.233E+04, 0.420E+05
1994,    18, 0.786E+01, 0.121E+05, 0.471E+05, 0.174E+05, 0.108E+05, 0.552E+04, 0.656E+03, 0.172E+04, 0.338E+05, 0.238E+04, 0.430E+05
1995,    18, 0.803E+01, 0.121E+05, 0.470E+05, 0.163E+05, 0.111E+05, 0.537E+04, 0.686E+03, 0.179E+04, 0.327E+05, 0.248E+04, 0.437E+05
1996,    18, 0.868E+01, 0.124E+05, 0.466E+05, 0.163E+05, 0.114E+05, 0.544E+04, 0.634E+03, 0.162E+04, 0.331E+05, 0.225E+04, 0.454E+05
1997,    18, 0.824E+01, 0.123E+05, 0.458E+05, 0.170E+05, 0.117E+05, 0.568E+04, 0.607E+03, 0.154E+04, 0.344E+05, 0.214E+04, 0.447E+05
1998,    18, 0.877E+01, 0.127E+05, 0.428E+05, 0.154E+05, 0.140E+05, 0.559E+04, 0.643E+03, 0.165E+04, 0.350E+05, 0.229E+04, 0.462E+05
1999,    18, 0.904E+01, 0.129E+05, 0.407E+05, 0.160E+05, 0.139E+05, 0.576E+04, 0.840E+03, 0.215E+04, 0.357E+05, 0.299E+04, 0.430E+05
2000,    18, 0.858E+01, 0.127E+05, 0.385E+05, 0.167E+05, 0.143E+05, 0.617E+04, 0.692E+03, 0.179E+04, 0.372E+05, 0.248E+04, 0.383E+05
1991,     4, 0.180E+02, 0.740E+04, 0.555E+04, 0.364E+04, 0.160E+04, 0.886E+03, 0.248E+03, 0.632E+03, 0.612E+04, 0.880E+03, 0.527E+05
1992,     4, 0.184E+02, 0.732E+04, 0.627E+04, 0.418E+04, 0.162E+04, 0.100E+04, 0.274E+03, 0.697E+03, 0.680E+04, 0.971E+03, 0.537E+05
1993,     4, 0.159E+02, 0.627E+04, 0.196E+04, 0.971E+03, 0.150E+04, 0.319E+03, 0.119E+03, 0.316E+03, 0.279E+04, 0.434E+03, 0.482E+05
1994,     4, 0.160E+02, 0.627E+04, 0.223E+04, 0.109E+04, 0.150E+04, 0.344E+03, 0.124E+03, 0.330E+03, 0.293E+04, 0.454E+03, 0.485E+05
1995,     4, 0.159E+02, 0.627E+04, 0.196E+04, 0.577E+03, 0.148E+04, 0.235E+03, 0.118E+03, 0.314E+03, 0.229E+04, 0.432E+03, 0.482E+05
